country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Libya,38.07,37.73,37.66,37.89,38.39,39.18,40.22,41.5,42.97,44.59,46.28,48.0,49.69,51.28,52.77,54.15,55.45,56.69,57.88,59.01,60.11,61.16,62.16,63.13,64.06,64.95,65.81,66.62,67.4,68.13,68.82,69.46,70.04,70.58,71.09,71.56,72.03,72.48,72.94,73.4,73.7,73.8,74.2,74.4,74.6,74.6,74.8,74.8,74.9,74.8,75.0,75.0,75.1,75.2,75.4,75.5,75.5,75.6,75.7,75.9,60.5,75.5,75.8,75.0,74.1,73.21
Lithuania,63.9,64.52,65.14,65.77,66.38,66.99,67.59,68.19,67.73,70.33,70.52,69.46,70.64,72.0,71.76,71.92,71.99,71.68,71.3,71.16,72.1,71.34,71.7,71.63,71.24,71.38,71.14,70.93,70.8,70.78,70.77,71.17,71.09,70.6,70.78,72.45,72.26,72.1,71.79,71.5,70.5,70.3,69.1,68.7,69.0,70.2,71.1,71.3,71.8,72.1,71.6,72.1,72.1,72.2,71.7,71.5,71.4,72.1,73.6,73.9,74.3,74.7,74.9,75.0,75.2,75.4
Luxembourg,65.38,65.71,66.04,66.37,66.67,66.98,67.27,67.55,67.83,68.99,69.49,68.59,68.8,68.98,69.31,69.21,69.59,70.17,69.73,69.47,69.35,70.59,70.34,70.42,70.37,70.31,71.61,71.57,72.25,72.42,72.22,72.31,73.19,72.94,73.51,74.44,73.97,74.57,74.49,75.2,75.5,75.8,76.2,76.5,76.9,77.1,77.4,77.7,78.1,78.5,78.7,79.0,79.1,79.5,80.0,80.3,80.6,81.0,81.2,81.3,81.5,81.7,81.9,82.1,82.2,82.3
"Macao, China",60.25,60.79,61.32,61.84,62.37,62.89,63.41,63.92,64.43,64.93,65.42,65.9,66.36,66.81,67.24,67.66,68.06,68.45,68.83,69.2,69.56,69.91,70.26,70.61,70.95,71.29,71.62,71.94,72.26,72.57,72.88,73.17,73.46,73.75,74.03,74.31,74.58,74.84,75.1,75.36,75.61,75.86,76.1,76.33,76.56,76.78,77.0,77.21,77.42,77.63,77.83,78.04,78.25,78.46,78.67,78.89,79.1,79.32,79.54,79.75,79.97,80.19,80.4,80.61,80.82,81.03
"Macedonia, FYR",53.65,54.61,55.53,56.4,57.25,58.04,58.79,59.51,60.2,60.85,61.49,62.11,62.72,63.32,63.92,64.51,65.08,65.62,66.14,66.63,67.08,67.48,67.83,68.14,68.41,68.61,68.76,68.88,68.98,69.08,69.21,69.4,69.63,69.92,70.26,70.6,70.93,71.23,71.48,71.7,71.7,71.6,71.5,71.7,71.8,72.1,72.3,72.4,72.6,72.9,73.0,73.3,73.4,73.6,73.8,74.1,74.3,74.5,74.7,75.2,75.6,75.8,76.0,76.2,76.5,76.8
Madagascar,36.69,37.28,37.86,38.45,39.03,39.62,40.21,40.79,41.38,41.96,42.54,43.12,43.7,44.28,44.85,45.43,46.01,46.6,47.18,47.77,48.36,48.94,49.5,50.06,50.59,51.12,51.63,52.12,52.58,53.01,53.36,53.64,53.86,54.03,54.19,54.38,54.63,54.98,55.43,56.0,56.2,56.4,56.3,56.8,57.2,57.6,58.0,58.3,58.8,59.1,59.6,59.8,60.1,60.6,61.2,61.7,62.0,62.2,62.3,62.4,62.6,62.8,63.0,63.3,63.5,63.7
Malawi,36.45,36.62,36.81,37.02,37.24,37.48,37.72,37.99,38.25,38.51,38.76,39.02,39.25,39.49,39.75,40.03,40.36,40.73,41.16,41.62,42.09,42.55,43.0,43.41,43.79,44.16,44.54,44.92,45.31,45.72,46.13,46.53,46.91,47.26,47.6,47.9,48.17,48.42,48.64,48.8,48.6,48.3,48.0,47.4,46.9,46.3,45.8,45.3,45.1,45.4,45.9,46.4,47.0,47.5,48.5,49.6,51.0,52.4,53.9,55.4,56.6,58.0,59.3,60.1,60.5,60.9
Malaysia,54.05,54.72,55.39,56.06,56.72,57.37,58.01,58.65,59.27,59.89,60.48,61.07,61.63,62.17,62.71,63.21,63.7,64.17,64.63,65.08,65.51,65.93,66.34,66.73,67.13,67.5,67.86,68.21,68.56,68.89,69.22,69.53,69.84,70.14,70.45,70.73,71.01,71.28,71.54,71.8,72.0,72.2,72.4,72.4,72.4,72.5,72.8,73.0,73.1,73.3,73.6,73.8,73.9,74.0,74.3,74.5,74.5,74.5,74.3,74.4,74.6,74.7,74.9,75.1,75.3,75.5
Maldives,33.9,34.18,34.49,34.86,35.27,35.72,36.22,36.78,37.39,38.07,38.82,39.64,40.54,41.48,42.47,43.48,44.49,45.48,46.44,47.37,48.25,49.12,49.98,50.82,51.69,52.59,53.53,54.51,55.53,56.58,57.62,58.64,59.64,60.6,61.51,62.41,63.3,64.19,65.08,66.0,66.7,67.3,67.9,68.6,69.3,70.0,70.8,71.7,72.3,73.0,73.7,74.4,75.3,74.7,76.9,77.5,78.1,78.5,78.9,79.2,79.6,79.8,79.9,80.0,80.0,80.0
Mali,27.34,27.71,28.04,28.34,28.6,28.84,29.04,29.23,29.42,29.61,29.83,30.08,30.4,30.79,31.26,31.8,32.41,33.07,33.77,34.51,35.27,36.04,36.82,37.61,38.39,39.18,39.97,40.79,41.61,42.45,43.3,44.17,45.02,45.86,46.68,47.45,48.18,48.86,49.47,50.0,50.5,50.8,51.2,51.2,51.4,51.8,52.2,50.9,53.5,53.5,54.1,54.6,55.5,56.2,56.9,57.4,58.0,58.5,58.9,59.2,59.6,59.8,59.8,60.0,60.2,60.4
Malta,66.02,66.17,66.35,66.55,66.79,67.06,67.34,67.65,67.97,68.32,68.67,69.02,69.37,69.7,70.03,70.36,70.67,70.98,71.29,71.6,71.9,72.2,72.49,72.78,73.07,73.36,73.63,73.92,74.19,74.47,74.74,75.01,75.28,75.54,75.81,76.08,76.33,76.59,76.84,77.1,77.3,77.5,77.9,78.2,78.4,78.5,78.8,78.9,79.0,79.2,79.4,79.8,80.1,80.3,80.7,81.0,80.9,80.7,81.2,81.3,81.3,81.6,81.7,82.0,82.1,82.2
Martinique,54.51,55.23,55.93,56.61,57.28,57.93,58.57,59.2,59.81,60.41,61.0,61.58,62.16,62.72,63.28,63.84,64.39,64.93,65.46,65.99,66.51,67.02,67.53,68.02,68.51,69.0,69.47,69.93,70.38,70.82,71.25,71.68,72.09,72.5,72.9,73.29,73.67,74.05,74.42,74.79,75.15,75.51,75.86,76.2,76.54,76.88,77.22,77.55,77.88,78.19,78.5,78.78,79.05,79.31,79.55,79.78,80.01,80.24,80.48,80.71,80.95,81.18,81.41,81.64,81.86,82.08
Mauritania,37.95,38.53,39.14,39.77,40.42,41.09,41.78,42.48,43.2,43.91,44.62,45.31,45.96,46.59,47.18,47.73,48.26,48.78,49.27,49.77,50.25,50.73,51.2,51.69,52.19,52.73,53.29,53.89,54.51,55.13,55.75,56.34,56.9,57.41,57.86,58.28,58.64,58.96,59.25,59.5,60.2,60.4,60.7,60.7,61.2,61.5,62.0,62.5,63.2,63.8,64.2,64.9,65.5,65.9,66.3,67.0,67.5,67.9,68.2,68.6,68.8,69.1,69.3,69.6,69.7,69.8
Mauritius,48.57,49.61,50.68,51.78,52.92,54.09,55.28,56.46,57.63,58.74,59.75,60.64,61.38,61.97,62.4,62.67,62.85,62.97,63.05,63.14,63.27,63.45,63.68,63.99,64.37,64.83,65.34,65.87,66.41,66.92,67.34,67.7,67.96,68.14,68.26,68.38,68.53,68.74,68.99,69.3,69.6,69.7,69.8,70.0,70.3,70.5,70.7,71.0,71.2,71.4,71.6,71.7,71.9,72.1,72.4,72.5,72.7,72.9,73.2,73.4,73.7,74.1,74.2,74.3,74.5,74.7
Mayotte,45.38,46.68,47.92,49.11,50.24,51.32,52.34,53.3,54.22,55.09,55.92,56.72,57.5,58.25,58.98,59.7,60.39,61.07,61.73,62.36,62.99,63.59,64.17,64.74,65.3,65.84,66.36,66.88,67.38,67.86,68.34,68.8,69.25,69.69,70.12,70.54,70.95,71.35,71.75,72.14,72.53,72.91,73.28,73.64,74.0,74.35,74.7,75.03,75.36,75.69,76.01,76.33,76.64,76.95,77.24,77.53,77.8,78.05,78.29,78.52,78.74,78.96,79.19,79.42,79.65,79.88
Mexico,49.27,50.37,51.42,52.43,53.39,54.29,55.14,55.94,56.67,57.34,57.95,58.49,58.96,59.4,59.78,60.15,60.53,60.91,61.32,61.77,62.25,62.75,63.29,63.83,64.39,64.95,65.51,66.05,66.58,67.09,67.58,68.05,68.52,68.97,69.4,69.84,70.26,70.67,71.09,71.5,71.9,72.1,72.4,72.7,73.0,73.3,73.6,73.7,74.1,74.6,74.9,74.9,74.9,75.2,75.1,75.4,75.6,75.4,75.3,75.4,75.7,75.7,75.4,75.6,75.9,76.2
"Micronesia, Fed. Sts.",53.56,53.92,54.28,54.65,55.01,55.37,55.73,56.09,56.45,56.82,57.18,57.54,57.9,58.26,58.63,58.99,59.36,59.73,60.1,60.48,60.89,61.3,61.71,62.12,62.5,62.85,63.14,63.37,63.53,63.64,63.71,63.77,63.81,63.86,63.92,63.99,64.07,64.15,64.23,64.3,64.5,64.7,64.9,65.1,65.4,65.7,65.9,66.1,66.3,66.6,66.8,66.0,67.3,67.4,67.6,67.7,67.9,68.0,68.1,68.3,68.4,68.6,68.7,68.8,68.9,69.0
Moldova,58.5,58.96,59.42,59.85,60.27,60.68,61.07,61.46,61.84,62.22,62.61,62.99,63.38,63.77,64.14,64.48,64.78,65.03,65.23,65.39,65.48,65.55,65.58,65.6,65.6,65.57,65.52,65.47,65.41,65.4,65.48,65.68,65.98,66.38,66.83,67.29,67.69,67.98,68.16,68.2,67.4,67.6,67.4,65.8,65.4,66.1,67.9,68.5,68.4,68.6,69.2,69.6,69.9,70.2,69.5,69.8,70.0,70.4,70.6,70.5,72.3,72.4,73.3,73.6,73.9,74.2
Mongolia,43.09,43.41,43.83,44.34,44.96,45.66,46.46,47.33,48.25,49.2,50.15,51.08,51.94,52.74,53.48,54.16,54.8,55.43,56.02,56.58,57.08,57.49,57.82,58.06,58.22,58.31,58.36,58.4,58.46,58.56,58.73,59.0,59.34,59.76,60.22,60.71,61.18,61.61,61.98,62.3,62.3,62.2,62.0,62.0,61.7,61.7,61.9,62.1,62.3,62.5,62.7,62.9,63.1,63.4,63.6,64.0,64.4,64.8,65.0,65.2,65.6,66.0,66.4,66.8,67.1,67.4
Montenegro,59.32,59.59,59.91,60.31,60.78,61.3,61.87,62.5,63.17,63.86,64.54,65.21,65.86,66.47,67.05,67.62,68.19,68.78,69.36,69.94,70.48,70.99,71.41,71.78,72.07,72.33,72.55,72.75,72.95,73.16,73.35,73.52,73.68,73.83,73.96,74.08,74.21,74.35,74.47,74.6,74.4,74.2,73.9,73.7,73.5,73.4,73.3,73.1,73.0,73.3,73.5,74.0,74.5,74.8,75.0,75.2,75.6,76.0,76.3,76.5,76.7,76.8,76.9,77.1,77.2,77.3
Morocco,45.84,46.21,46.58,46.98,47.39,47.81,48.25,48.7,49.17,49.64,50.11,50.6,51.09,51.58,52.06,52.54,53.0,53.46,53.91,54.34,54.77,55.19,55.62,56.08,56.56,57.11,57.72,58.39,59.13,59.93,60.77,61.63,62.49,63.33,64.14,64.91,65.66,66.38,67.06,67.7,68.1,68.4,68.6,69.1,69.5,70.0,70.4,70.8,71.1,71.5,71.8,72.0,72.3,72.5,72.7,72.9,73.1,73.3,73.5,73.7,73.9,74.1,74.3,74.4,74.6,74.8
Mozambique,32.26,32.92,33.58,34.25,34.91,35.58,36.23,36.89,37.54,38.17,38.79,39.4,39.98,40.54,41.1,41.66,42.21,42.78,43.37,43.97,44.58,45.21,45.85,46.46,47.06,47.61,48.1,48.52,48.88,49.17,49.4,49.57,49.72,49.87,50.02,50.21,50.45,50.74,51.08,51.5,51.7,52.1,52.3,52.6,52.7,52.6,52.5,52.6,52.6,52.3,52.8,52.7,52.9,53.0,52.9,53.0,53.2,54.0,54.4,54.4,54.5,54.5,54.8,56.1,57.1,58.12
Myanmar,33.8,35.24,36.53,37.69,38.71,39.6,40.36,41.03,41.65,42.25,42.9,43.64,44.47,45.4,46.4,47.39,48.31,49.11,49.78,50.31,50.72,51.09,51.44,51.78,52.15,52.54,52.93,53.31,53.69,54.07,54.44,54.8,55.16,55.52,55.87,56.23,56.58,56.93,57.26,57.6,57.8,58.1,58.4,58.8,59.0,59.4,59.7,60.1,60.4,60.8,61.3,61.7,62.3,62.8,63.4,64.0,64.6,59.4,65.6,66.0,66.4,66.8,67.2,67.6,68.0,68.4
Namibia,40.72,41.49,42.23,42.96,43.69,44.39,45.09,45.76,46.42,47.07,47.7,48.31,48.9,49.48,50.05,50.61,51.17,51.71,52.26,52.81,53.36,53.91,54.44,54.98,55.51,56.04,56.56,57.07,57.57,58.06,58.54,59.01,59.45,59.87,60.27,60.65,61.0,61.3,61.54,61.7,61.9,62.0,62.0,61.5,60.5,59.3,58.1,56.7,55.4,54.0,53.4,52.7,52.4,52.5,53.1,54.9,57.5,59.1,60.3,61.4,62.6,63.6,63.9,64.1,64.2,64.3
Nepal,35.53,36.0,36.48,36.96,37.43,37.9,38.38,38.85,39.32,39.8,40.26,40.74,41.21,41.67,42.14,42.6,43.05,43.51,43.97,44.43,44.91,45.41,45.92,46.47,47.05,47.64,48.28,48.94,49.63,50.32,51.06,51.81,52.57,53.36,54.17,54.98,55.83,56.68,57.53,58.4,59.1,60.0,60.2,61.0,61.7,62.5,63.4,63.9,64.6,65.2,65.9,65.9,66.8,67.0,67.4,67.8,68.1,68.4,68.7,69.0,69.3,69.7,69.9,70.2,69.7,69.2
Netherlands,71.5,72.12,71.7,72.39,72.51,72.52,72.97,73.13,73.17,73.35,73.54,73.21,73.33,73.71,73.58,73.52,73.79,73.6,73.51,73.57,73.81,73.72,74.17,74.56,74.49,74.61,75.2,75.11,75.59,75.72,75.93,76.01,76.21,76.28,76.34,76.31,76.78,76.98,76.82,77.0,77.2,77.3,77.2,77.5,77.6,77.6,77.9,78.1,78.0,78.1,78.3,78.5,78.7,79.1,79.6,79.9,80.2,80.3,80.6,80.8,80.9,81.0,81.2,81.3,81.3,81.3
Netherlands Antilles,58.96,60.02,61.0,61.89,62.7,63.43,64.08,64.65,65.15,65.6,65.99,66.34,66.67,67.0,67.33,67.67,68.03,68.41,68.81,69.22,69.63,70.05,70.45,70.84,71.21,71.58,71.94,72.29,72.64,72.96,73.27,73.56,73.8,74.02,74.19,74.33,74.42,74.49,74.52,74.54,74.53,74.52,74.5,74.49,74.48,74.48,74.5,74.53,74.57,74.65,74.76,74.91,75.09,75.3,75.53,75.76,75.98,76.18,76.36,76.52,76.65,76.77,76.89,77.01,77.14,77.27
New Caledonia,49.51,50.34,51.16,51.96,52.74,53.5,54.25,54.98,55.69,56.38,57.06,57.72,58.36,58.99,59.6,60.19,60.77,61.33,61.89,62.42,62.95,63.46,63.95,64.44,64.91,65.37,65.81,66.25,66.68,67.09,67.5,67.89,68.28,68.65,69.02,69.37,69.72,70.05,70.38,70.7,71.01,71.31,71.6,71.89,72.16,72.43,72.7,72.95,73.21,73.46,73.7,73.94,74.17,74.4,74.62,74.84,75.05,75.26,75.47,75.67,75.88,76.09,76.31,76.52,76.74,76.96
New Zealand,69.17,69.4,70.25,70.36,70.49,70.75,70.27,70.9,70.82,71.28,71.0,71.26,71.33,71.37,71.3,71.16,71.54,71.2,71.57,71.35,71.8,71.92,71.78,72.03,72.3,72.5,72.25,73.14,73.18,72.98,73.77,73.87,73.97,74.53,74.03,74.28,74.36,74.64,75.05,75.6,75.9,76.2,76.5,76.7,77.0,77.3,77.6,78.0,78.2,78.4,78.6,78.9,79.1,79.4,79.8,79.9,80.1,80.3,80.5,80.8,80.8,81.1,81.4,81.4,81.4,81.4
Nicaragua,43.38,44.18,44.98,45.78,46.59,47.4,48.22,49.04,49.86,50.69,51.53,52.36,53.19,54.04,54.88,55.74,56.6,57.47,58.33,59.18,60.01,60.8,61.56,62.28,62.95,63.59,64.17,64.73,65.28,65.83,66.38,66.95,67.56,68.2,68.89,69.67,70.51,71.4,72.35,73.3,73.7,73.6,73.9,74.1,74.4,74.7,75.0,73.2,75.6,76.0,76.2,76.3,76.3,76.4,76.6,76.7,76.8,77.0,77.1,77.2,77.4,77.5,77.6,77.8,78.0,78.2
Niger,35.61,35.72,35.83,35.95,36.08,36.22,36.37,36.51,36.67,36.82,36.97,37.1,37.24,37.36,37.49,37.61,37.73,37.88,38.05,38.24,38.45,38.69,38.95,39.25,39.57,39.97,40.4,40.9,41.44,42.0,42.58,43.13,43.66,44.15,44.63,45.09,45.57,46.07,46.62,47.2,47.9,48.2,48.6,49.1,49.5,50.2,50.6,51.2,51.8,52.4,52.9,53.7,54.4,55.2,55.9,56.6,57.3,58.0,58.6,59.2,59.6,60.0,60.4,60.7,61.0,61.3
Nigeria,35.25,35.74,36.25,36.79,37.35,37.93,38.53,39.14,39.76,40.39,41.0,41.61,42.19,42.75,43.29,43.81,38.31,33.47,31.63,41.79,46.56,47.16,47.77,48.38,49.0,49.62,50.24,50.84,51.42,51.95,52.41,52.8,53.12,53.36,53.54,53.67,53.78,53.88,53.98,54.1,54.3,54.4,54.5,54.9,55.0,55.0,55.0,55.1,55.2,55.2,55.4,55.3,55.6,56.1,56.8,57.4,58.3,59.2,60.3,61.2,62.0,62.6,63.3,63.7,64.6,65.51
North Korea,26.78,24.76,31.74,42.66,46.7,48.18,49.16,49.73,50.43,50.9,51.25,51.64,52.15,52.86,53.76,54.84,55.97,57.07,58.1,59.06,59.93,60.74,61.5,62.22,62.88,63.49,64.04,64.53,64.98,65.39,65.75,66.08,66.4,66.69,67.0,67.36,67.78,68.22,68.63,68.9,69.2,69.4,69.6,69.7,58.6,58.7,58.8,58.9,59.0,59.1,59.2,59.3,69.9,70.0,70.2,70.4,70.6,70.9,71.0,71.2,71.4,71.6,71.8,71.9,72.1,72.3
Norway,72.58,72.72,73.2,73.28,73.5,73.55,73.5,73.5,73.63,73.66,73.67,73.55,73.2,73.7,73.83,74.11,74.18,74.07,73.78,74.19,74.3,74.46,74.56,74.88,74.93,75.17,75.51,75.54,75.54,75.8,76.0,76.13,76.19,76.36,76.07,76.21,76.07,76.17,76.52,76.6,77.0,77.1,77.5,77.7,77.9,78.2,78.3,78.3,78.5,78.6,78.9,79.1,79.5,79.8,80.2,80.4,80.6,80.8,80.8,81.1,81.1,81.6,81.6,82.0,82.0,82.0
Oman,35.74,36.78,37.81,38.82,39.82,40.8,41.78,42.75,43.7,44.64,45.57,46.47,47.37,48.26,49.13,49.97,50.8,51.62,52.43,53.26,54.14,55.07,56.06,57.11,58.2,59.32,60.45,61.57,62.65,63.7,64.69,65.65,66.59,67.48,68.35,69.17,69.95,70.7,71.41,72.1,72.5,72.9,73.3,73.6,73.9,74.2,74.5,74.8,75.1,75.2,75.4,75.4,75.6,75.8,76.0,76.0,76.0,76.2,76.2,76.1,76.3,76.6,76.8,77.0,77.2,77.4
Pakistan,36.85,38.07,39.26,40.42,41.56,42.67,43.75,44.8,45.81,46.79,47.73,48.63,49.47,50.27,51.01,51.7,52.34,52.95,53.52,54.06,54.6,55.12,55.64,56.16,56.68,57.17,57.63,58.05,58.44,58.79,59.13,59.45,59.77,60.09,60.43,60.77,61.11,61.45,61.78,62.1,62.2,62.1,62.0,61.9,61.8,61.9,61.8,62.0,62.1,62.3,62.5,62.6,62.8,63.1,62.2,63.7,63.8,64.1,64.3,64.5,64.9,65.1,65.4,65.6,65.9,66.2
Panama,56.42,56.99,57.56,58.14,58.72,59.31,59.89,60.47,61.05,61.62,62.17,62.71,63.22,63.72,64.21,64.7,65.18,65.65,66.15,66.66,67.18,67.72,68.26,68.81,69.35,69.88,70.38,70.85,71.3,71.72,72.1,72.47,72.8,73.13,73.45,73.76,74.06,74.34,74.62,74.9,75.0,75.0,75.2,75.2,75.3,75.4,75.6,75.8,76.2,76.5,76.7,76.9,77.0,77.1,77.2,77.2,77.3,77.3,77.3,77.3,77.4,77.5,77.6,77.9,78.2,78.5
Papua New Guinea,34.02,34.53,35.04,35.54,36.03,36.53,37.02,37.51,38.04,38.6,39.2,39.87,40.6,41.39,42.22,43.07,43.92,44.74,45.53,46.27,46.97,47.63,48.27,48.9,49.54,50.21,50.91,51.65,52.4,53.11,53.74,54.26,54.65,54.92,55.08,55.19,55.3,55.47,55.7,56.0,56.0,56.2,56.4,56.7,56.9,57.0,57.2,56.5,57.4,57.5,57.6,57.6,57.7,57.7,57.9,58.0,58.2,58.6,58.8,59.1,59.4,59.7,60.2,60.5,60.9,61.3
Paraguay,64.04,64.16,64.33,64.52,64.76,65.03,65.33,65.65,66.0,66.35,66.7,67.03,67.33,67.61,67.87,68.11,68.37,68.63,68.9,69.2,69.49,69.78,70.06,70.32,70.57,70.81,71.04,71.28,71.51,71.73,71.97,72.19,72.41,72.64,72.87,73.11,73.36,73.62,73.91,74.2,74.2,74.1,74.1,74.0,74.1,74.1,74.2,74.2,74.3,74.2,74.2,74.1,74.1,73.8,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.1,74.1,74.3,74.4,74.5
Peru,43.99,44.43,44.91,45.41,45.95,46.51,47.1,47.72,48.34,48.95,49.56,50.14,50.7,51.25,51.79,52.38,53.03,53.74,54.52,55.36,56.2,57.04,57.85,58.6,59.31,59.99,60.63,61.28,61.93,62.59,63.25,63.9,64.55,65.18,65.8,66.41,66.99,67.57,68.14,68.7,69.2,69.5,70.0,70.5,71.1,71.7,72.4,73.1,73.9,74.6,75.2,75.7,76.2,76.7,77.2,77.7,77.9,78.2,78.2,78.4,78.5,78.7,79.1,79.3,79.5,79.7
Philippines,55.43,55.83,56.23,56.61,56.99,57.36,57.74,58.11,58.46,58.82,59.17,59.53,59.87,60.21,60.56,60.91,61.26,61.6,61.94,62.26,62.54,62.77,62.95,63.1,63.21,63.32,63.44,63.6,63.81,64.06,64.37,64.74,65.13,65.53,65.95,66.35,66.72,67.05,67.34,67.6,67.9,68.2,68.3,68.6,68.8,68.9,69.0,69.0,69.2,69.1,69.0,69.0,69.1,69.1,69.1,69.2,69.7,69.8,69.9,70.1,70.2,70.3,70.3,70.7,71.0,71.3
Poland,59.68,60.87,61.96,62.97,63.9,64.74,65.5,65.97,65.59,67.92,68.04,67.71,68.64,68.87,69.58,69.99,69.69,70.33,69.83,69.96,69.76,70.95,70.95,71.46,70.88,70.88,70.78,70.71,71.05,70.4,71.38,71.45,71.29,71.03,70.78,71.07,71.12,71.49,71.25,70.9,70.7,71.1,71.7,71.7,71.9,72.4,72.7,73.0,73.1,73.8,74.2,74.6,74.9,75.0,75.1,75.2,75.2,75.4,75.7,76.2,76.5,76.7,77.3,77.4,77.6,77.8
Portugal,58.71,59.81,61.11,62.25,61.42,61.22,61.49,63.79,62.97,64.23,62.85,64.37,65.0,65.22,66.17,65.67,66.57,66.88,66.49,67.14,66.91,69.23,68.63,69.18,68.9,69.12,70.37,70.83,71.64,71.71,71.9,72.73,72.65,72.94,73.22,73.61,74.0,74.02,74.58,74.2,74.2,74.6,74.7,75.5,75.5,75.5,75.8,76.1,76.4,76.8,76.8,77.3,77.6,78.2,78.4,79.0,79.2,79.4,79.6,79.9,80.2,80.4,80.7,80.7,80.8,80.9
Puerto Rico,61.57,62.94,64.16,65.22,66.13,66.87,67.48,67.94,68.31,68.58,68.8,69.0,69.21,69.45,69.72,70.03,70.36,70.7,71.03,71.35,71.66,71.98,72.26,72.53,72.77,72.98,73.15,73.28,73.38,73.47,73.56,73.65,73.76,73.89,74.0,74.07,74.08,74.04,73.93,73.8,73.8,73.7,73.8,73.1,73.3,73.6,74.5,75.1,75.2,75.6,75.8,76.2,76.5,76.5,76.6,76.8,76.9,77.0,77.1,77.1,77.4,77.7,77.9,78.2,78.5,78.8
Qatar,53.86,54.67,55.47,56.26,57.04,57.81,58.58,59.33,60.08,60.82,61.57,62.31,63.06,63.79,64.53,65.25,65.95,66.64,67.29,67.91,68.49,69.03,69.52,69.98,70.4,70.79,71.15,71.49,71.83,72.14,72.45,72.75,73.01,73.27,73.51,73.74,73.94,74.14,74.32,74.5,74.4,74.5,74.5,74.4,74.4,74.5,74.6,74.6,74.6,74.7,75.0,75.0,75.2,75.8,76.3,76.7,77.3,77.9,78.5,79.2,79.7,79.9,79.9,79.8,79.7,79.6
Reunion,45.98,47.28,48.53,49.72,50.86,51.94,52.96,53.93,54.85,55.73,56.57,57.37,58.15,58.9,59.64,60.36,61.06,61.74,62.41,63.06,63.69,64.3,64.89,65.46,66.0,66.53,67.05,67.55,68.03,68.51,68.97,69.43,69.87,70.3,70.73,71.14,71.54,71.94,72.32,72.69,73.06,73.41,73.77,74.11,74.45,74.79,75.12,75.44,75.76,76.08,76.38,76.68,76.97,77.26,77.53,77.81,78.08,78.35,78.62,78.88,79.14,79.4,79.65,79.89,80.12,80.35
Romania,61.13,61.07,61.19,61.47,61.93,62.54,63.29,64.14,65.04,65.92,66.7,67.32,67.74,67.96,68.02,67.98,67.95,68.01,68.16,68.41,68.73,69.06,69.34,69.58,69.75,69.87,69.95,70.01,70.06,70.1,70.12,70.11,70.1,70.08,70.05,70.02,70.0,69.98,69.99,70.0,70.5,70.0,69.8,69.5,69.4,69.1,69.1,69.8,70.6,71.1,71.1,71.2,71.6,72.0,72.4,72.8,73.3,73.2,73.3,73.7,74.5,74.7,74.9,75.1,75.2,75.3
Russia,57.76,58.16,58.96,60.96,63.35,64.85,63.95,66.84,67.59,68.61,68.85,68.51,68.98,69.77,69.36,69.43,69.21,69.17,68.65,68.76,69.02,68.92,68.89,68.88,68.24,67.98,67.85,67.89,67.61,67.57,67.79,68.25,68.01,67.53,68.19,69.8,69.81,69.66,69.57,69.2,69.1,68.0,65.2,63.8,64.4,65.7,67.0,67.2,65.9,65.1,65.1,64.9,64.7,65.1,65.1,66.7,67.7,67.9,68.8,68.9,69.8,70.4,70.8,70.9,71.0,71.1
Rwanda,39.99,40.32,40.66,41.0,41.34,41.69,42.03,42.38,42.73,43.07,43.41,43.74,44.05,44.35,44.62,44.85,45.07,45.27,45.44,45.58,45.71,45.81,45.91,46.01,46.13,46.31,46.54,46.81,47.12,47.46,47.88,48.32,48.69,48.88,49.15,49.42,49.69,49.96,50.23,50.5,49.3,48.0,46.7,13.2,43.8,44.6,44.0,45.6,47.2,49.2,51.0,53.5,55.5,57.6,59.6,61.6,63.1,64.1,64.3,65.1,65.3,65.5,65.6,65.7,65.9,66.1
Samoa,46.08,46.69,47.3,47.9,48.5,49.09,49.69,50.28,50.87,51.45,52.04,52.62,53.21,53.8,54.39,54.98,55.57,56.15,56.75,57.33,57.92,58.5,59.09,59.67,60.26,60.84,61.44,62.02,62.62,63.2,63.79,64.36,64.94,65.51,66.1,66.67,67.27,67.87,68.49,69.1,69.1,69.5,69.7,69.8,70.0,70.2,70.4,70.6,70.7,70.8,71.0,71.2,71.4,71.6,71.8,72.0,72.1,72.3,70.4,72.6,72.7,72.7,73.0,73.1,73.2,73.3
Sao Tome and Principe,46.1,46.54,47.01,47.52,48.05,48.6,49.18,49.77,50.38,51.01,51.62,52.21,52.79,53.36,53.92,54.47,55.03,55.6,56.19,56.81,57.47,58.13,58.81,59.47,60.09,60.63,61.08,61.42,61.67,61.83,61.93,62.02,62.12,62.24,62.4,62.59,62.79,63.0,63.2,63.4,63.5,63.6,63.7,64.0,64.1,63.9,63.9,64.0,64.4,64.6,64.9,65.0,65.3,65.4,65.5,65.7,65.7,66.0,66.7,66.9,67.2,67.4,67.6,67.8,68.0,68.2
